Year,Mo,Dy,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed
2018,6.0,3.0,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2.0,201.0,229.0,27.0,120.0,186.0,201.0,229.0,27.0,120.0,186.0
2018,7.0,16.0,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,23.0,1.0,,,,23.0,1.0,
2018,8.0,25.0,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4.0,,,,,164.0,,,,,164.0
2018,12.0,15.0,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,2.0,,,,,,,,,,
2018,12.0,22.0,Krakatau,Indonesia,Indonesia,-6.102,105.423,155,Caldera,3.0,,,,,,437.0,10.0,31943.0,250.0,2844.0
2018,12.0,26.0,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,2.0,,,,,,,,28.0,115.0,15.0
2019,1.0,7.0,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4.0,,,,,,,,,,
2019,5.0,7.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,4.0,,,,,,,,,,
2019,6.0,26.0,Ulawun,New Britain-SW Pac,Papua New Guinea,-5.05,151.33,2334,Stratovolcano,4.0,,,2.0,14.0,,,,2.0,14.0,
2019,6.0,28.0,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4.0,,,,,,,,,,
2019,7.0,3.0,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2.0,1.0,,1.0,,,1.0,,1.0,,
2019,8.0,28.0,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2.0,,,,,,,,,,
2019,12.0,9.0,Whakaari/White Island,New Zealand,New Zealand,-37.52,177.18,294,Stratovolcano,2.0,22.0,,25.0,,,22.0,,25.0,,
2020,1.0,12.0,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,4.0,39.0,,,67.0,4573.0,39.0,,,67.0,4573.0
2020,5.0,29.0,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,,1.0,,,,,1.0,,,,
